corp_name,stock_code,kind_code
제이엠티,094970,09497
제주반도체,080220,08022
조아제약,034940,03494
주성엔지니어링,036930,03693
중앙디앤엠,051980,05198
지니언스,263860,26386
지엔씨에너지,119850,11985
지티지웰니스,219750,21975
초록뱀컴퍼니,052300,05230
캐스텍코리아,071850,07185
커머스마이너,223310,22331
케이비제20호스팩,342550,34255
케이프이에스제4호,347140,34714
케이피엠테크,042040,04204
케이피티유,054410,05441
켄코아에어로스페이스,274090,27409
코드네이처,078940,07894
코스나인,082660,08266
코스온,069110,06911
코오롱생명과학,102940,10294
코퍼스코리아,322780,32278
클리오,237880,23788
키네마스터,139670,13967
탑엔지니어링,065130,06513
테라셈,182690,18269
텔콘RF제약,200230,20023
토탈소프트,045340,04534
트윔,290090,29009
특수건설,026150,02615
티앤알바이오팹,246710,24671
티에스넥스젠,043220,04322
티케이케미칼,104480,10448
파나케이아,058530,05853
파라텍,033540,03354
파커스,065690,06569
패션플랫폼,225590,22559
포인트엔지니어링,256630,25663
포커스에이치엔에스,331380,33138
푸드웰,005670,00567
풍원정밀,371950,37195
프로스테믹스,203690,20369
프롬바이오,377220,37722
피델릭스,032580,03258
피에스엠씨,024850,02485
피에스케이,319660,31966
피에스케이홀딩스,031980,03198
피제이전자,006140,00614
필옵틱스,161580,16158
하나금융15호스팩,341160,34116
하나금융19호스팩,388220,38822
하이즈항공,221840,22184
한국경제TV,039340,03934
한국맥널티,222980,22298
한국선재,025550,02555
한국제10호스팩,409570,40957
한국테크놀로지,053590,05359
한솔인티큐브,070590,07059
한양디지텍,078350,07835
한화플러스제2호스팩,386580,38658
현대무벡스,319400,31940
현대바이오,048410,04841
현대바이오랜드,052260,05226
화성밸브,039610,03961
휴림로봇,090710,09071
휴먼엔,032860,03286
휴엠앤씨,263920,26392
희림,037440,03744
관악산업,076340,07634
굿센,243870,24387
나눔테크,244880,24488
다원넥스뷰,323350,32335
다이오진,271850,27185
로지스몬,223220,22322
선바이오,067370,06737
씨앗,103660,10366
에스알바이오텍,270210,27021
엘리비젼,276240,27624
유투바이오,221800,22180
진코스텍,250030,25003
큐엠씨,136660,13666
타스컴,336040,33604
CJ CGV,079160,07916
CJ제일제당,097950,09795
CS홀딩스,000590,00059
DSR제강,069730,06973
F&F 홀딩스,007700,00770
GS리테일,007070,00707
HDC,012630,01263
JW홀딩스,096760,09676
KB금융,105560,10556
KEC,092220,09222
KG스틸,016380,01638
KR모터스,000040,00004
KTcs,058850,05885
LS전선아시아,229640,22964
SKC,011790,01179
SK디앤디,210980,21098
강원랜드,035250,03525
경동나비엔,009450,00945
교보증권,030610,03061
금강공업,014280,01428
금호건설,002990,00299
금호전기,001210,00121
기업은행,024110,02411
다올투자증권,030210,03021
대구백화점,006370,00637
대성에너지,117580,11758
대원제약,003220,00322
대한방직,001070,00107
대한해운,005880,00588
덕양산업,024900,02490
동아에스티,170900,17090
동아지질,028100,02810
동양생명,082640,08264
동원금속,018500,01850
디씨엠,024090,02409
디아이,003160,00316
디앤디플랫폼리츠,377190,37719
롯데정밀화학,004000,00400
무학,033920,03392
보락,002760,00276
빙그레,005180,00518
사조대림,003960,00396
삼부토건,001470,00147
서원,021050,02105
선도전기,007610,00761
세방,004360,00436
세아홀딩스,058650,05865
세우글로벌,013000,01300
세원정공,021820,02182
세이브존I&C,067830,06783
솔루스첨단소재,336370,33637
수산중공업,017550,01755
신송홀딩스,006880,00688
신일전자,002700,00270
신풍제약,019170,01917
아모레퍼시픽,090430,09043
아이마켓코리아,122900,12290
아이에이치큐,003560,00356
에스엠벡셀,010580,01058
엔씨소프트,036570,03657
영보화학,014440,01444
유니온머티리얼,047400,04740
이수화학,005950,00595
이스타코,015020,01502
인디에프,014990,01499
인천도시가스,034590,03459
일동홀딩스,000230,00023
조흥,002600,00260
카카오뱅크,323410,32341
코리아써키트,007810,00781
코스모화학,005420,00542
코아스,071950,07195
코오롱,002020,00202
코오롱플라스틱,138490,13849
큐로,015590,01559
크래프톤,259960,25996
태광산업,003240,00324
태영건설,009410,00941
티비에이치글로벌,084870,08487
포스코케미칼,003670,00367
하이트진로,000080,00008
한국금융지주,071050,07105
한국전자홀딩스,006200,00620
한국조선해양,009540,00954
한국종합기술,023350,02335
한국주철관공업,000970,00097
한국타이어앤테크놀로지,161390,16139
한국프랜지공업,010100,01010
한온시스템,018880,01888
한올바이오파마,009420,00942
한창,005110,00511
호텔신라,008770,00877
화승알앤에이,378850,37885
화승인더스트리,006060,00606
화천기공,000850,00085
