corp_code,inventory,totalEquity,CofGS,totalDebt,CFfromO,accountReceivable,accountPayables,revenue
911955,31521112382,466376829269,15989460782,42939112094,-1960290850,17217079335,8485869453,37517252186
1414422,412152676,27011298883,4125367927,39216961732,3648297080,2257582113,1750521989,13032899216
652007,15067018665,138275338606,12060418489,19140805592,1291803521,7108546267,4057176769,17744693526
297989,15759711182,53852830604,9986576708,53367345209,-2956554608,16136797324,6750197273,12214812468
162063,220374597106,627358883887,235094404654,1241107284233,-43828427256,41627013371,-47686594365,266209868417
1267602,6189998851,28995540094,5230154496,22892991333,2220065269,5945458137,1577166384,18284081299
1063990,2981338222,23406401724,1367970918,1197161669,-1746765612,4234521620,505016406,2248265246
375931,10976419470,319085180488,38693270836,163084940252,-235480657,-2207888566,1128985500,53699969320
239639,50701474261,626830530867,107237062749,725158078613,-3482631636,98391319136,31965810119,115173914029
104722,22345974347,71221512474,14880404717,74966480716,1521384518,19617240318,9138759044,27383867560
761059,7956651942,229039045825,41999863775,72313549092,1459117425,35823203677,21543700642,55722675167
145552,105440277921,330005890664,311899928821,710938542366,9949409148,175806675864,74077388867,349602456067
1208885,1416319472,364946297975,418861280388,426385961506,87777832942,191380247577,291731781961,456597483688
811372,37246108229,121279496322,51205760699,113456875320,10309508201,34090077622,30720630655,62282937633
488989,16289269550,56199239808,44789585418,68914327035,8596478276,22512622688,35899532989,51421839875
870481,20775745998,56444336703,14088942738,59858981382,-7076905433,19272561248,12028337930,18295130577
1182578,23155330334,51592402641,35869990946,122092757577,-3273775667,25052830328,25738049440,42868824824
489243,27641012989,208008927775,48646211289,72627753012,-11415703192,44691529533,38973045073,53911020147
